engine_id,site,area,asset_family,criticality_class,failure_cycle,current_cycle,current_rul,current_health_index,current_risk_score,current_risk_level,current_recommended_action
39,Planta Norte,Línea 1,Motor crítico,B - Media,128,121,7,5.46875,94.53125,Crítico,Intervención prioritaria
40,Planta Concentradora,Línea 3,Equipo rotativo,B - Media,188,125,63,33.51063829787234,66.48936170212767,Medio,Seguimiento preventivo
41,Planta Norte,Línea 2,Equipo rotativo,B - Media,216,161,55,25.462962962962965,74.53703703703704,Medio,Seguimiento preventivo
42,Planta Concentradora,Línea 3,Equipo rotativo,B - Media,196,83,113,57.6530612244898,42.3469387755102,Bajo,Monitoreo normal
43,Planta Concentradora,Línea 1,Turbina industrial,A - Alta,207,114,93,44.927536231884055,55.072463768115945,Bajo,Monitoreo normal
44,Planta Norte,Línea 1,Motor crítico,B - Media,192,117,75,39.0625,60.9375,Medio,Seguimiento preventivo
45,Planta Norte,Línea 2,Motor crítico,A - Alta,158,142,16,10.126582278481013,89.87341772151899,Crítico,Intervención prioritaria
46,Planta Concentradora,Línea 3,Motor crítico,A - Alta,256,130,126,49.21875,50.78125,Bajo,Monitoreo normal
47,Planta Sur,Línea 3,Turbina industrial,B - Media,214,140,74,34.57943925233645,65.42056074766356,Medio,Seguimiento preventivo
48,Planta Norte,Línea 2,Equipo rotativo,A - Alta,231,224,7,3.0303030303030303,96.96969696969697,Crítico,Intervención prioritaria
49,Planta Sur,Línea 3,Equipo rotativo,C - Baja,215,146,69,32.093023255813954,67.90697674418604,Medio,Seguimiento preventivo
50,Planta Sur,Línea 3,Motor crítico,C - Baja,198,146,52,26.262626262626267,73.73737373737373,Medio,Seguimiento preventivo
51,Planta Sur,Línea 1,Equipo rotativo,C - Baja,213,91,122,57.27699530516433,42.72300469483567,Bajo,Monitoreo normal
52,Planta Norte,Línea 3,Equipo rotativo,B - Media,213,185,28,13.145539906103288,86.8544600938967,Alto,Programar mantención
53,Planta Sur,Línea 3,Turbina industrial,A - Alta,195,142,53,27.17948717948718,72.82051282051282,Medio,Seguimiento preventivo
54,Planta Norte,Línea 2,Turbina industrial,C - Baja,257,178,79,30.739299610894943,69.26070038910505,Medio,Seguimiento preventivo
55,Planta Sur,Línea 2,Turbina industrial,B - Media,193,109,84,43.523316062176164,56.476683937823836,Medio,Seguimiento preventivo
56,Planta Concentradora,Servicios Auxiliares,Turbina industrial,C - Baja,275,149,126,45.81818181818182,54.18181818181818,Bajo,Monitoreo normal
57,Planta Concentradora,Línea 1,Motor crítico,C - Baja,137,84,53,38.68613138686132,61.31386861313868,Medio,Seguimiento preventivo
58,Planta Norte,Línea 3,Turbina industrial,C - Baja,147,115,32,21.768707482993197,78.2312925170068,Alto,Programar mantención
59,Planta Concentradora,Línea 3,Equipo rotativo,A - Alta,231,208,23,9.956709956709958,90.04329004329004,Alto,Programar mantención
60,Planta Concentradora,Servicios Auxiliares,Motor crítico,B - Media,172,116,56,32.55813953488372,67.44186046511628,Medio,Seguimiento preventivo
61,Planta Sur,Línea 3,Equipo rotativo,C - Baja,185,143,42,22.702702702702705,77.29729729729729,Alto,Programar mantención
62,Planta Norte,Línea 1,Equipo rotativo,A - Alta,180,129,51,28.333333333333332,71.66666666666667,Medio,Seguimiento preventivo
63,Planta Sur,Servicios Auxiliares,Equipo rotativo,A - Alta,174,129,45,25.862068965517242,74.13793103448276,Alto,Programar mantención
64,Planta Sur,Línea 1,Turbina industrial,B - Media,283,219,64,22.614840989399294,77.3851590106007,Medio,Seguimiento preventivo
65,Planta Sur,Servicios Auxiliares,Turbina industrial,C - Baja,153,135,18,11.76470588235294,88.23529411764706,Crítico,Intervención prioritaria
66,Planta Sur,Servicios Auxiliares,Motor crítico,B - Media,202,81,121,59.900990099009896,40.099009900990104,Bajo,Monitoreo normal
67,Planta Sur,Línea 2,Motor crítico,B - Media,313,260,53,16.93290734824281,83.06709265175719,Medio,Seguimiento preventivo
68,Planta Sur,Línea 1,Turbina industrial,A - Alta,199,100,99,49.74874371859296,50.25125628140704,Bajo,Monitoreo normal
69,Planta Sur,Línea 3,Equipo rotativo,B - Media,362,171,191,52.762430939226526,47.237569060773474,Bajo,Monitoreo normal
70,Planta Norte,Línea 3,Motor crítico,C - Baja,137,97,40,29.1970802919708,70.80291970802921,Alto,Programar mantención
71,Planta Concentradora,Línea 1,Turbina industrial,A - Alta,208,85,123,59.13461538461539,40.86538461538461,Bajo,Monitoreo normal
72,Planta Sur,Línea 3,Turbina industrial,B - Media,213,193,20,9.389671361502346,90.61032863849765,Crítico,Intervención prioritaria
73,Planta Sur,Línea 3,Turbina industrial,C - Baja,213,159,54,25.352112676056336,74.64788732394366,Medio,Seguimiento preventivo
74,Planta Sur,Línea 1,Equipo rotativo,B - Media,166,134,32,19.27710843373494,80.72289156626506,Alto,Programar mantención
75,Planta Sur,Servicios Auxiliares,Turbina industrial,B - Media,229,82,147,64.19213973799127,35.80786026200873,Bajo,Monitoreo normal
76,Planta Sur,Línea 1,Turbina industrial,B - Media,210,152,58,27.61904761904762,72.38095238095238,Medio,Seguimiento preventivo
77,Planta Sur,Servicios Auxiliares,Turbina industrial,B - Media,154,108,46,29.87012987012987,70.12987012987013,Alto,Programar mantención
78,Planta Concentradora,Línea 3,Turbina industrial,A - Alta,231,104,127,54.97835497835498,45.02164502164502,Bajo,Monitoreo normal
79,Planta Concentradora,Línea 3,Motor crítico,C - Baja,199,89,110,55.27638190954774,44.72361809045226,Bajo,Monitoreo normal
80,Planta Sur,Línea 3,Motor crítico,C - Baja,185,146,39,21.08108108108108,78.91891891891892,Alto,Programar mantención
81,Planta Concentradora,Línea 2,Turbina industrial,C - Baja,240,132,108,45.0,55.0,Bajo,Monitoreo normal
82,Planta Norte,Servicios Auxiliares,Equipo rotativo,C - Baja,214,168,46,21.49532710280374,78.50467289719626,Alto,Programar mantención
83,Planta Sur,Línea 2,Motor crítico,B - Media,293,205,88,30.034129692832767,69.96587030716724,Medio,Seguimiento preventivo
84,Planta Norte,Línea 2,Turbina industrial,B - Media,267,159,108,40.44943820224719,59.55056179775281,Bajo,Monitoreo normal
85,Planta Norte,Línea 1,Motor crítico,B - Media,188,175,13,6.914893617021277,93.08510638297872,Crítico,Intervención prioritaria
86,Planta Sur,Línea 2,Motor crítico,B - Media,278,245,33,11.870503597122301,88.12949640287769,Alto,Programar mantención
87,Planta Concentradora,Línea 1,Equipo rotativo,B - Media,178,102,76,42.69662921348314,57.30337078651686,Medio,Seguimiento preventivo
88,Planta Norte,Línea 1,Turbina industrial,B - Media,213,80,133,62.441314553990615,37.558685446009385,Bajo,Monitoreo normal
89,Planta Sur,Línea 2,Turbina industrial,C - Baja,217,118,99,45.622119815668206,54.377880184331794,Bajo,Monitoreo normal
90,Planta Norte,Servicios Auxiliares,Equipo rotativo,A - Alta,154,93,61,39.61038961038961,60.38961038961039,Medio,Seguimiento preventivo
91,Planta Norte,Servicios Auxiliares,Equipo rotativo,B - Media,135,107,28,20.74074074074074,79.25925925925927,Alto,Programar mantención
92,Planta Norte,Servicios Auxiliares,Turbina industrial,A - Alta,341,333,8,2.346041055718475,97.65395894428153,Crítico,Intervención prioritaria
93,Planta Norte,Servicios Auxiliares,Turbina industrial,B - Media,155,89,66,42.58064516129032,57.41935483870968,Medio,Seguimiento preventivo
94,Planta Concentradora,Servicios Auxiliares,Equipo rotativo,A - Alta,258,214,44,17.05426356589147,82.94573643410853,Alto,Programar mantención
95,Planta Norte,Línea 2,Motor crítico,B - Media,283,205,78,27.56183745583039,72.43816254416961,Medio,Seguimiento preventivo
96,Planta Norte,Línea 2,Motor crítico,B - Media,336,264,72,21.428571428571427,78.57142857142857,Medio,Seguimiento preventivo
97,Planta Norte,Línea 3,Equipo rotativo,A - Alta,202,90,112,55.44554455445545,44.55445544554455,Bajo,Monitoreo normal
98,Planta Concentradora,Servicios Auxiliares,Motor crítico,B - Media,156,94,62,39.743589743589745,60.256410256410255,Medio,Seguimiento preventivo
99,Planta Norte,Línea 2,Equipo rotativo,A - Alta,185,93,92,49.72972972972973,50.27027027027027,Bajo,Monitoreo normal
100,Planta Norte,Línea 3,Motor crítico,A - Alta,200,113,87,43.5,56.5,Medio,Seguimiento preventivo
